"word","BuildingToys1","StarWarsGear","logratio"
"httpstcozjmandp47y",0.00485436893203883,0.173913043478261,3.57867631398032
"player",0.00485436893203883,0.130434782608696,3.29099424152854
"saga",0.00485436893203883,0.130434782608696,3.29099424152854
"trailer",0.00485436893203883,0.130434782608696,3.29099424152854
"skywalker",0.00970873786407767,0.130434782608696,2.5978470609686
"20th",0.0145631067961165,0.0434782608695652,1.09376966419232
"anniversary",0.0145631067961165,0.0434782608695652,1.09376966419232
"brand",0.0145631067961165,0.0434782608695652,1.09376966419232
"building",0.0145631067961165,0.0434782608695652,1.09376966419232
"darth",0.0145631067961165,0.0434782608695652,1.09376966419232
"falcon",0.0145631067961165,0.0434782608695652,1.09376966419232
"millennium",0.0145631067961165,0.0434782608695652,1.09376966419232
"minifigure",0.0145631067961165,0.0434782608695652,1.09376966419232
"republic",0.0145631067961165,0.0434782608695652,1.09376966419232
"retired",0.0145631067961165,0.0434782608695652,1.09376966419232
"revan",0.0145631067961165,0.0434782608695652,1.09376966419232
"clone",0.0194174757281553,0.0434782608695652,0.806087591740541
"imperial",0.0194174757281553,0.0434782608695652,0.806087591740541
"light",0.0194174757281553,0.0434782608695652,0.806087591740541
"limited",0.0194174757281553,0.0434782608695652,0.806087591740541
"slave",0.0194174757281553,0.0434782608695652,0.806087591740541
"amp",0.0242718446601942,0.0434782608695652,0.582944040426331
"cruiser",0.0242718446601942,0.0434782608695652,0.582944040426331
"edition",0.0242718446601942,0.0434782608695652,0.582944040426331
"minifigures",0.0242718446601942,0.0434782608695652,0.582944040426331
"set",0.0242718446601942,0.0434782608695652,0.582944040426331
"complete",0.029126213592233,0.0434782608695652,0.400622483632376
"star",0.160194174757282,0.217391304347826,0.305312303828051
"wars",0.160194174757282,0.217391304347826,0.305312303828051
"lot",0.0339805825242718,0.0434782608695652,0.246471803805118
"lego",0.160194174757282,0.173913043478261,0.0821687525138417
"sealed",0.0436893203883495,0.0434782608695652,-0.00484262447578802
"ebay",0.160194174757282,0.0434782608695652,-1.30412560860605
