"screen_name","line","word"
"Manchildalorian",1,"@mingna"
"Manchildalorian",1,"writeup"
"Manchildalorian",1,"@themarysue"
"Manchildalorian",1,"https://t.co/3h4grzfpvp"
"DOAHITMAN",1,"@fairyitv"
"DOAHITMAN",1,"moots"
"DOAHITMAN",1,"love"
"DOAHITMAN",1,"star"
"DOAHITMAN",1,"wars"
"DOAHITMAN",1,"including"
"DOAHITMAN",1,"infamous"
"DOAHITMAN",1,"star"
"DOAHITMAN",1,"wars"
"DOAHITMAN",1,"christmas"
"DOAHITMAN",1,"special"
"DOAHITMAN",1,"lego"
"DOAHITMAN",1,"version"
"DOAHITMAN",1,"redid"
"DaNovaFRFX",1,"remember"
"DaNovaFRFX",1,"lego"
"DaNovaFRFX",1,"star"
"DaNovaFRFX",1,"wars"
"DaNovaFRFX",1,"iii"
"pootatcat",1,"@intelgaming"
"pootatcat",1,"@lenovolegion"
"pootatcat",1,"lego"
"pootatcat",1,"star"
"pootatcat",1,"wars"
"pootatcat",1,"tcs"
"pootatcat",1,"lego"
"pootatcat",1,"star"
"pootatcat",1,"wars"
"pootatcat",1,"game"
"pootatcat",1,"#intelgamerdays"
"404_SunNotFound",1,"akyakyakyakyak"
"404_SunNotFound",1,"spongebob"
"404_SunNotFound",1,"boy"
"404_SunNotFound",1,"time"
"404_SunNotFound",1,"simp"
"404_SunNotFound",1,"lego"
"404_SunNotFound",1,"star"
"404_SunNotFound",1,"wars"
"404_SunNotFound",1,"https://t.co/gpha3t4gds"
"StarWarsGear",1,"lego"
"StarWarsGear",1,"star"
"StarWarsGear",1,"wars"
"StarWarsGear",1,"battles"
"StarWarsGear",1,"announced"
"StarWarsGear",1,"apple"
"StarWarsGear",1,"arcade"
"StarWarsGear",1,"player"
"StarWarsGear",1,"player"
"StarWarsGear",1,"game"
"StarWarsGear",1,"iphone"
"StarWarsGear",1,"https://t.co/x4dj03oqfa"
"StarWarsGear",1,"httpstcozjmandp47y"
"StarWarsGear",2,"lego"
"StarWarsGear",2,"star"
"StarWarsGear",2,"wars"
"StarWarsGear",2,"skywalker"
"StarWarsGear",2,"saga"
"StarWarsGear",2,"gameplay"
"StarWarsGear",2,"trailer"
"StarWarsGear",2,"release"
"StarWarsGear",2,"date"
"StarWarsGear",2,"target"
"StarWarsGear",2,"spring"
"StarWarsGear",2,"https://t.co/hhsxphyewi"
"StarWarsGear",2,"httpstcozjmandp47y"
"StarWarsGear",3,"week"
"StarWarsGear",3,"star"
"StarWarsGear",3,"wars"
"StarWarsGear",3,"lego"
"StarWarsGear",3,"star"
"StarWarsGear",3,"wars"
"StarWarsGear",3,"skywalker"
"StarWarsGear",3,"saga"
"StarWarsGear",3,"trailer"
"StarWarsGear",3,"tony"
"StarWarsGear",3,"mcvey"
"StarWarsGear",3,"salacious"
"StarWarsGear",3,"crumb"
"StarWarsGear",3,"https://t.co/bw0lbo1tzs"
"StarWarsGear",3,"httpstcozjmandp47y"
"theforcenet",1,"lego"
"theforcenet",1,"star"
"theforcenet",1,"wars"
"theforcenet",1,"battles"
"theforcenet",1,"announced"
"theforcenet",1,"apple"
"theforcenet",1,"arcade"
"theforcenet",1,"https://t.co/zhiw0rdm9r"
"theforcenet",2,"lego"
"theforcenet",2,"star"
"theforcenet",2,"wars"
"theforcenet",2,"skywalker"
"theforcenet",2,"saga"
"theforcenet",2,"gameplay"
"theforcenet",2,"trailer"
"theforcenet",2,"https://t.co/cdi5couiqg"
"ourbabybun",1,"lego"
"ourbabybun",1,"star"
"ourbabybun",1,"wars"
"ourbabybun",1,"mandalorian"
"ourbabybun",1,"collectible"
"ourbabybun",1,"gt"
"ourbabybun",1,"https://t.co/qjhw3aknpg"
"ourbabybun",1,"#pic"
"ourbabybun",1,"#video"
"ourbabybun",1,"#baby"
"ourbabybun",1,"https://t.co/gqo0iolqrt"
"BuildingToys1",1,"lego"
"BuildingToys1",1,"star"
"BuildingToys1",1,"wars"
"BuildingToys1",1,"resistance"
"BuildingToys1",1,"bomber"
"BuildingToys1",1,"building"
"BuildingToys1",1,"set"
"BuildingToys1",1,"sealed"
"BuildingToys1",1,"https://t.co/2wl4omv9ge"
"BuildingToys1",1,"ebay"
"BuildingToys1",1,"https://t.co/rllcuvyjmr"
"BuildingToys1",2,"lego"
"BuildingToys1",2,"star"
"BuildingToys1",2,"wars"
"BuildingToys1",2,"ucs"
"BuildingToys1",2,"republic"
"BuildingToys1",2,"gunship"
"BuildingToys1",2,"brand"
"BuildingToys1",2,"sealed"
"BuildingToys1",2,"hand"
"BuildingToys1",2,"free"
"BuildingToys1",2,"shipping"
"BuildingToys1",2,"https://t.co/itfmn85ylf"
"BuildingToys1",2,"ebay"
"BuildingToys1",2,"https://t.co/to9kbuv6oj"
"BuildingToys1",3,"lego"
"BuildingToys1",3,"star"
"BuildingToys1",3,"wars"
"BuildingToys1",3,"clone"
"BuildingToys1",3,"trooper"
"BuildingToys1",3,"minifigures"
"BuildingToys1",3,"lot"
"BuildingToys1",3,"https://t.co/eefhwnt6pr"
"BuildingToys1",3,"ebay"
"BuildingToys1",3,"https://t.co/fuy01zwhuk"
"BuildingToys1",4,"lego"
"BuildingToys1",4,"star"
"BuildingToys1",4,"wars"
"BuildingToys1",4,"minifigure"
"BuildingToys1",4,"lot"
"BuildingToys1",4,"figures"
"BuildingToys1",4,"https://t.co/pqacluotxg"
"BuildingToys1",4,"ebay"
"BuildingToys1",4,"https://t.co/wadwbdn3py"
"BuildingToys1",5,"lego"
"BuildingToys1",5,"star"
"BuildingToys1",5,"wars"
"BuildingToys1",5,"imperial"
"BuildingToys1",5,"light"
"BuildingToys1",5,"cruiser"
"BuildingToys1",5,"https://t.co/mrstclngge"
"BuildingToys1",5,"ebay"
"BuildingToys1",5,"https://t.co/aeadozek9o"
"BuildingToys1",6,"lego"
"BuildingToys1",6,"lot"
"BuildingToys1",6,"star"
"BuildingToys1",6,"wars"
"BuildingToys1",6,"sets"
"BuildingToys1",6,"amp"
"BuildingToys1",6,"harry"
"BuildingToys1",6,"potter"
"BuildingToys1",6,"set"
"BuildingToys1",6,"https://t.co/rsuuyubu0y"
"BuildingToys1",6,"ebay"
"BuildingToys1",6,"https://t.co/0q82kjrhrb"
"BuildingToys1",7,"lego"
"BuildingToys1",7,"star"
"BuildingToys1",7,"wars"
"BuildingToys1",7,"tracker"
"BuildingToys1",7,"emperor"
"BuildingToys1",7,"palpatine"
"BuildingToys1",7,"factory"
"BuildingToys1",7,"sealed"
"BuildingToys1",7,"retired"
"BuildingToys1",7,"https://t.co/edwmioq8xb"
"BuildingToys1",7,"ebay"
"BuildingToys1",7,"https://t.co/kxklbx0e6y"
"BuildingToys1",8,"lego"
"BuildingToys1",8,"limited"
