"created_at","status_id","text","truncated","source","status_in_reply_to_status_id","status_in_reply_to_user_id","in_reply_to_screen_name","geo","coordinates","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","lang","possibly_sensitive","status_quoted_status_id"
2021-08-27 00:06:05,"x1431045313830215682","@StarTrek_Lt Manipulating data frames, recoding variables of all types, basic descriptive statistics, more advanced… https://t.co/FimHXXoaFe",TRUE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1431025803232309253","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-26 23:59:20,"x1431043619092373512","@SimonvBaal @StarTrek_Lt I enjoy the lighthearted fights!",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1431032921863847936","x1145574850448089088","SimonvBaal",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-26 23:56:11,"x1431042822556225547","@StarTrek_Lt Ah, so this ggplot2 is called in a parameterised .Rmd and the parameters dictate which dataset is pipe… https://t.co/j9RW6Or9j7",TRUE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1431023646240169986","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-26 23:16:50,"x1431032921863847936","@StarTrek_Lt @val_the_narwhal For me the hot takes are part of the fun - let’s have a silly lighthearted fight over it!",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1431029486720409603","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,FALSE,FALSE,"en",,
2021-08-26 23:03:40,"x1431029608862732291","@StarTrek_Lt @val_the_narwhal I'd like to know too. When I first wrote https://t.co/m7jhqm4jWT a couple years ago,… https://t.co/EeAKDD8cXr",TRUE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1431022961302011905","x780551700432117760","StarTrek_Lt",,,,FALSE,2,30,FALSE,FALSE,"en",FALSE,
2021-08-26 23:00:39,"x1431028851136626688","@StarTrek_Lt @val_the_narwhal I mostly like tidyverse because you can do basically anything with it without having… https://t.co/NIH4pFmgpY",TRUE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1431027942306443266","x1145574850448089088","SimonvBaal",,,,FALSE,0,2,TRUE,FALSE,"en",,
2021-08-26 22:57:03,"x1431027942306443266","@StarTrek_Lt @val_the_narwhal Generally people get extremely annoyed with tidyverse fans because they see tidyverse… https://t.co/nqtuFPlDJZ",TRUE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1431022961302011905","x780551700432117760","StarTrek_Lt",,,,FALSE,0,3,TRUE,FALSE,"en",,
2021-08-26 22:44:24,"x1431024760243302403","@StarTrek_Lt If you learned tidyverse first I can totally see how it would be easier than base R! I learned base R… https://t.co/yge6XhQlMI",TRUE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1431022961302011905","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-26 21:09:14,"x1431000810041880584","@StarTrek_Lt I love it! As soon as I show up to the set tomorrow...",FALSE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1430999988465651714","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-26 20:36:59,"x1430992692339740674","@StarTrek_Lt Lol I could do that - every episode I'd rant about some period of history while baking and messing it… https://t.co/CrTgTBRHkv",TRUE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","x1430991783744348163","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-26 17:25:03,"x1430944394140598272","@StarTrek_Lt That would be a really cool project.",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1430943866744492037","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
