"screen_name","word","n","total","freq"
"vgamereviewbot","complete",119,745,0.159731543624161
"vgamereviewbot","lego",119,745,0.159731543624161
"vgamereviewbot","saga",119,745,0.159731543624161
"vgamereviewbot","star",119,745,0.159731543624161
"vgamereviewbot","wars",119,745,0.159731543624161
"BrickSetSearch","star",108,2439,0.044280442804428
"BrickSetSearch","wars",102,2439,0.041820418204182
"BrickSetSearch","#bricks",99,2439,0.040590405904059
"BrickSetSearch","#lego",99,2439,0.040590405904059
"BrickSetSearch","#searchncollect",99,2439,0.040590405904059
"BrickSetSearch","view",99,2439,0.040590405904059
"BrickSetSearch","lego",97,2439,0.039770397703977
"BrickSetSearch","#starwars",93,2439,0.038130381303813
"BrickSetSearch","#bricksetsearch",83,2439,0.034030340303403
"BrickSetSearch","amp",81,2439,0.033210332103321
"BrickSetSearch","#auction",78,2439,0.031980319803198
"BrickSetSearch","#ebay",78,2439,0.031980319803198
"BrickSetSearch","collect",78,2439,0.031980319803198
"BrickSetSearch","ebay",78,2439,0.031980319803198
"BrickSetSearch","info",78,2439,0.031980319803198
"BrickSetSearch","search",78,2439,0.031980319803198
"LEGOStarWarsS2","lego",59,622,0.0948553054662379
"XenaGifts","ad",57,610,0.0934426229508197
"XenaGifts","lego",57,610,0.0934426229508197
"XenaGifts","star",57,610,0.0934426229508197
"XenaGifts","wars",57,610,0.0934426229508197
"LEGOStarWarsS2","wars",55,622,0.0884244372990354
"LEGOStarWarsS2","star",52,622,0.0836012861736334
"vgamereviewbot","bad",51,745,0.0684563758389262
"puledo","https://t.co/4vdtqwoswf",33,132,0.25
"BuildingToys1","ebay",32,352,0.0909090909090909
"BuildingToys1","lego",32,352,0.0909090909090909
"BuildingToys1","star",32,352,0.0909090909090909
"BuildingToys1","wars",32,352,0.0909090909090909
"vgamereviewbot","pretty",30,745,0.0402684563758389
"LEGOStarWarsS2","game",29,622,0.0466237942122186
"BrickSetSearch","#unitedstates",26,2439,0.010660106601066
"BrickSetSearch","#us",26,2439,0.010660106601066
"StarWarsInforms","wars",26,198,0.131313131313131
"BitchinLego","lego",25,258,0.0968992248062016
"BitchinLego","star",25,258,0.0968992248062016
"BitchinLego","wars",25,258,0.0968992248062016
"vgamereviewbot","kinda",25,745,0.0335570469798658
"vgamereviewbot","sorta",25,745,0.0335570469798658
"StarWarsInforms","lego",24,198,0.121212121212121
"BrickSetSearch","#ad",21,2439,0.00861008610086101
"BrickSetSearch","#amazon",21,2439,0.00861008610086101
"BrickSetSearch","#gb",21,2439,0.00861008610086101
"BrickSetSearch","#unitedkingdom",21,2439,0.00861008610086101
"BrickSetSearch","amazon",21,2439,0.00861008610086101
"BrickSetSearch","building",21,2439,0.00861008610086101
"justxavier2004","star",21,163,0.128834355828221
"justxavier2004","wars",21,163,0.128834355828221
"StarWarsInforms","star",21,198,0.106060606060606
"BrickSetSearch","#sealed",20,2439,0.00820008200082001
"BrickSetSearch","#de",19,2439,0.00779007790077901
"BrickSetSearch","#germany",19,2439,0.00779007790077901
"LEGOStarWarsS2","skywalker",19,622,0.0305466237942122
"XenaGifts","sealed",19,610,0.0311475409836066
"BrickSetSearch","sealed",18,2439,0.00738007380073801
"empirisch2","wars",18,149,0.120805369127517
"LEGOStarWarsS2","saga",18,622,0.0289389067524116
"BrickSetSearch","kit",17,2439,0.00697006970069701
"justxavier2004","lego",17,163,0.104294478527607
"BitchinLego","skywalker",16,258,0.062015503875969
"Ccero95257539","lego",16,112,0.142857142857143
"BrickFanatics","lego",15,241,0.0622406639004149
"andrearweir","check",14,68,0.205882352941176
"BrickSetSearch","ucs",14,2439,0.00574005740057401
"PS5only","#ad",14,184,0.0760869565217391
"PS5only","amazon",14,184,0.0760869565217391
"PS5only","lego",14,184,0.0760869565217391
"PS5only","ps5",14,184,0.0760869565217391
"PS5only","saga",14,184,0.0760869565217391
"PS5only","skywalker",14,184,0.0760869565217391
"PS5only","star",14,184,0.0760869565217391
"PS5only","wars",14,184,0.0760869565217391
"andrearweir","ebay",13,68,0.191176470588235
"bargains_brick","wars",13,317,0.0410094637223975
"BrickFanatics","#lego",13,241,0.0539419087136929
"BrickFanatics","#legostarwars",13,241,0.0539419087136929
"BrickFanatics","star",13,241,0.0539419087136929
"BrickFanatics","wars",13,241,0.0539419087136929
"LEGOStarWarsS2","games",13,622,0.0209003215434084
"StarWarsToysan1","lego",13,154,0.0844155844155844
"StarWarsToysan1","star",13,154,0.0844155844155844
"StarWarsToysan1","wars",13,154,0.0844155844155844
"XenaGifts","battle",13,610,0.0213114754098361
"andrearweir","https://t.co/1timrxhq39",12,68,0.176470588235294
"bargains_brick","#ad",12,317,0.0378548895899054
"bargains_brick","#brickcentral",12,317,0.0378548895899054
"bargains_brick","#bricknetwork",12,317,0.0378548895899054
"bargains_brick","#bricks",12,317,0.0378548895899054
"bargains_brick","#lego",12,317,0.0378548895899054
"bargains_brick","#legobricks",12,317,0.0378548895899054
"bargains_brick","#legocollection",12,317,0.0378548895899054
"bargains_brick","#legocreator",12,317,0.0378548895899054
"bargains_brick","#legominifigs",12,317,0.0378548895899054
"bargains_brick","#minifigure",12,317,0.0378548895899054
"bargains_brick","lego",12,317,0.0378548895899054
"bargains_brick","star",12,317,0.0378548895899054
"BitchinLego","saga",12,258,0.0465116279069767
"BrickSetSearch","slave",12,2439,0.00492004920049201
"Ccero95257539","star",12,112,0.107142857142857
"Ccero95257539","wars",12,112,0.107142857142857
"StarWarsInforms","game",12,198,0.0606060606060606
"BrickSetSearch","#au",11,2439,0.004510045100451
"BrickSetSearch","#australia",11,2439,0.004510045100451
"empirisch2","star",11,149,0.0738255033557047
"Lego_enthusiast","wars",11,222,0.0495495495495495
"legofac","lego",11,90,0.122222222222222
"legofac","star",11,90,0.122222222222222
"legofac","wars",11,90,0.122222222222222
"XenaGifts","pack",11,610,0.0180327868852459
"BrickFanatics","#starwars",10,241,0.04149377593361
"BrickSetSearch","fighter",10,2439,0.00410004100041
"BrickSetSearch","gunship",10,2439,0.00410004100041
"BrickSetSearch","republic",10,2439,0.00410004100041
"BrickSetSearch","set",10,2439,0.00410004100041
"empirisch2","lego",10,149,0.0671140939597315
"Lego_enthusiast","#ad",10,222,0.045045045045045
"Lego_enthusiast","#afol",10,222,0.045045045045045
"Lego_enthusiast","#lego",10,222,0.045045045045045
"Lego_enthusiast","#legofan",10,222,0.045045045045045
"Lego_enthusiast","#legolife",10,222,0.045045045045045
"Lego_enthusiast","#legomania",10,222,0.045045045045045
"Lego_enthusiast","#legos",10,222,0.045045045045045
"Lego_enthusiast","bids",10,222,0.045045045045045
"Lego_enthusiast","lego",10,222,0.045045045045045
"Lego_enthusiast","star",10,222,0.045045045045045
"Lego_enthusiast","watchers",10,222,0.045045045045045
"LEGOTSSNEWSII","star",10,104,0.0961538461538462
"LEGOTSSNEWSII","wars",10,104,0.0961538461538462
"PS5only","deluxe",10,184,0.0543478260869565
"PS5only","edition",10,184,0.0543478260869565
"StarWarsInforms","released",10,198,0.0505050505050505
"StarWarsInforms","video",10,198,0.0505050505050505
"vgamereviewbot","horrible",10,745,0.0134228187919463
"XenaGifts","complete",10,610,0.0163934426229508
"BrickSetSearch","toy",9,2439,0.003690036900369
"GrandShuckett","#grandshuckett",9,117,0.0769230769230769
"GrandShuckett","boba",9,117,0.0769230769230769
"GrandShuckett","disney",9,117,0.0769230769230769
"GrandShuckett","drops",9,117,0.0769230769230769
"GrandShuckett","fett",9,117,0.0769230769230769
"GrandShuckett","legos",9,117,0.0769230769230769
"GrandShuckett","news",9,117,0.0769230769230769
"GrandShuckett","ship",9,117,0.0769230769230769
"GrandShuckett","slave",9,117,0.0769230769230769
"GrandShuckett","star",9,117,0.0769230769230769
"GrandShuckett","tv",9,117,0.0769230769230769
"GrandShuckett","wars",9,117,0.0769230769230769
"LEGOTSSNEWSII","lego",9,104,0.0865384615384615
"puledo","#puledotechupdate",9,132,0.0681818181818182
"puledo","#technews",9,132,0.0681818181818182
"puledo","#technology",9,132,0.0681818181818182
"puledo","apple",9,132,0.0681818181818182
"puledo","arcade",9,132,0.0681818181818182
"puledo","exclusive",9,132,0.0681818181818182
"puledo","game",9,132,0.0681818181818182
"puledo","https://t.co/pyx04j3pmr",9,132,0.0681818181818182
"puledo","lego",9,132,0.0681818181818182
"puledo","star",9,132,0.0681818181818182
"puledo","wars",9,132,0.0681818181818182
"StarWarsToysan1","#starwars",9,154,0.0584415584415584
"StarWarsToysan1","#toys",9,154,0.0584415584415584
"ThSleepyVampire","lego",9,38,0.236842105263158
"ToyerToys","lego",9,102,0.0882352941176471
"ToyerToys","star",9,102,0.0882352941176471
"ToyerToys","wars",9,102,0.0882352941176471
"vgamereviewbot","amazing",9,745,0.0120805369127517
"XenaGifts","imperial",9,610,0.0147540983606557
"BrickSetSearch","box",8,2439,0.003280032800328
"BrickSetSearch","brand",8,2439,0.003280032800328
"BuildingToys1","sealed",8,352,0.0227272727272727
"Ccero95257539","saga",8,112,0.0714285714285714
"Ccero95257539","skywalker",8,112,0.0714285714285714
"empirisch2","#diyprojects",8,149,0.0536912751677852
"empirisch2","#findingdiy",8,149,0.0536912751677852
"empirisch2","saga",8,149,0.0536912751677852
"empirisch2","skywalker",8,149,0.0536912751677852
"empirisch2","spring",8,149,0.0536912751677852
"GrandShuckett","https://t.co/wm3iucfpal",8,117,0.0683760683760684
"JenBandicoot","lego",8,63,0.126984126984127
"JenBandicoot","wars",8,63,0.126984126984127
"ToyerToys","game",8,102,0.0784313725490196
"XenaGifts","set",8,610,0.0131147540983607
"bargains_brick","aug",7,317,0.0220820189274448
"bargains_brick","lot",7,317,0.0220820189274448
"BrickSetSearch","kids",7,2439,0.002870028700287
"BrickSetSearch","starfighter",7,2439,0.002870028700287
"BrickSetSearch","ultimate",7,2439,0.002870028700287
"Ccero95257539","game",7,112,0.0625
"collectlegos","#lego",7,96,0.0729166666666667
"collectlegos","lego",7,96,0.0729166666666667
"collectlegos","star",7,96,0.0729166666666667
"collectlegos","wars",7,96,0.0729166666666667
"empirisch2","https://t.co/lncjv3orae",7,149,0.0469798657718121
"empirisch2","projects",7,149,0.0469798657718121
"empirisch2","related",7,149,0.0469798657718121
"JenBandicoot","star",7,63,0.111111111111111
"justxavier2004","game",7,163,0.0429447852760736
"lukerob72317804","lego",7,84,0.0833333333333333
"NierEnix","favorite",7,29,0.241379310344828
"PEBPhotography","lego",7,74,0.0945945945945946
"SMM2_bot","complete",7,89,0.0786516853932584
"SMM2_bot","lego",7,89,0.0786516853932584
"SMM2_bot","saga",7,89,0.0786516853932584
"SMM2_bot","star",7,89,0.0786516853932584
"SMM2_bot","wars",7,89,0.0786516853932584
"XenaGifts","box",7,610,0.0114754098360656
"XenaGifts","minifigures",7,610,0.0114754098360656
"XenaGifts","starfighter",7,610,0.0114754098360656
"AggroGamer","#lego",6,76,0.0789473684210526
"AggroGamer","#starwars",6,76,0.0789473684210526
"AggroGamer","#videogames",6,76,0.0789473684210526
"AggroGamer","gameplay",6,76,0.0789473684210526
"AggroGamer","lego",6,76,0.0789473684210526
"AggroGamer","saga",6,76,0.0789473684210526
"AggroGamer","skywalker",6,76,0.0789473684210526
"AggroGamer","star",6,76,0.0789473684210526
"AggroGamer","wars",6,76,0.0789473684210526
"bargains_brick","30th",6,317,0.0189274447949527
"bargains_brick","mon",6,317,0.0189274447949527
"BrickSetSearch","awesome",6,2439,0.002460024600246
"BrickSetSearch","mandalorian",6,2439,0.002460024600246
"BuildingToys1","lot",6,352,0.0170454545454545
"collectlegos","#legos",6,96,0.0625
"empirisch2","trailer",6,149,0.0402684563758389
"JediNewsNetwork","star",6,86,0.0697674418604651
"Lego_enthusiast","aug",6,222,0.027027027027027
"Lego_enthusiast","mon",6,222,0.027027027027027
"legobrickvideos","star",6,62,0.0967741935483871
"LEGOStarWarsS2","trilogy",6,622,0.00964630225080386
"LEGOTSSNEWSII","skywalker",6,104,0.0576923076923077
"lukerob72317804","saga",6,84,0.0714285714285714
"lukerob72317804","skywalker",6,84,0.0714285714285714
"lukerob72317804","star",6,84,0.0714285714285714
"lukerob72317804","wars",6,84,0.0714285714285714
"morningbot101","dude",6,42,0.142857142857143
"morningbot101","happy",6,42,0.142857142857143
"morningbot101","lego",6,42,0.142857142857143
"morningbot101","morning",6,42,0.142857142857143
"morningbot101","star",6,42,0.142857142857143
"morningbot101","wars",6,42,0.142857142857143
"morningbot101","wood",6,42,0.142857142857143
"PlayerHud","#lego",6,78,0.0769230769230769
"PlayerHud","#starwars",6,78,0.0769230769230769
"PlayerHud","#videogames",6,78,0.0769230769230769
"PlayerHud","gameplay",6,78,0.0769230769230769
"PlayerHud","lego",6,78,0.0769230769230769
"PlayerHud","saga",6,78,0.0769230769230769
"PlayerHud","skywalker",6,78,0.0769230769230769
"PlayerHud","star",6,78,0.0769230769230769
"PlayerHud","wars",6,78,0.0769230769230769
"PodcastStardust","star",6,45,0.133333333333333
"PodcastStardust","wars",6,45,0.133333333333333
"PS5only","https://t.co/y1mttlyyfg",6,184,0.0326086956521739
"Shiinovii","lego",6,27,0.222222222222222
"SMM2_bot","style",6,89,0.0674157303370786
"StarWarsInforms","actionadventure",6,198,0.0303030303030303
"StarWarsInforms","based",6,198,0.0303030303030303
"StarWarsInforms","legothemed",6,198,0.0303030303030303
"SWTimeShow","lego",6,67,0.0895522388059701
"SWTimeShow","star",6,67,0.0895522388059701
"SWTimeShow","wars",6,67,0.0895522388059701
"vinterp2","lego",6,48,0.125
"vinterp2","star",6,48,0.125
"vinterp2","wars",6,48,0.125
"XenaGifts","lot",6,610,0.00983606557377049
"AggroGamer","ready",5,76,0.0657894736842105
"AggroGamer","release",5,76,0.0657894736842105
"AppDropped_UK","lego",5,48,0.104166666666667
"AppDropped_UK","star",5,48,0.104166666666667
"AppDropped_UK","wars",5,48,0.104166666666667
"bargains_brick","sep",5,317,0.0157728706624606
"BitchinLego","apple",5,258,0.0193798449612403
"BitchinLego","arcade",5,258,0.0193798449612403
"BitchinLego","battles",5,258,0.0193798449612403
"BitchinLego","coming",5,258,0.0193798449612403
"BitchinLego","release",5,258,0.0193798449612403
"BrickFanatics","#legostarwarstheskywalkersaga",5,241,0.020746887966805
"BrickFanatics","#lswtss",5,241,0.020746887966805
"BrickFanatics","saga",5,241,0.020746887966805
"BrickFanatics","skywalker",5,241,0.020746887966805
"BrickSetSearch","anniversary",5,2439,0.002050020500205
"BrickSetSearch","collectible",5,2439,0.002050020500205
"BrickSetSearch","falcon",5,2439,0.002050020500205
"BrickSetSearch","imperial",5,2439,0.002050020500205
"BrickSetSearch","pieces",5,2439,0.002050020500205
"BrickSetSearch","resistance",5,2439,0.002050020500205
"BrickSetSearch","xwing",5,2439,0.002050020500205
"BricksFanz","lego",5,42,0.119047619047619
"BuildingToys1","complete",5,352,0.0142045454545455
"collectlegos","#legofan",5,96,0.0520833333333333
"empirisch2","gamescom2021",5,149,0.0335570469798658
"FanthaTracks","star",5,69,0.072463768115942
"FanthaTracks","wars",5,69,0.072463768115942
"GAMEPerth","lego",5,12,0.416666666666667
"JediNewsNetwork","lego",5,86,0.0581395348837209
"JediNewsNetwork","wars",5,86,0.0581395348837209
"kalebhanson0104","lego",5,80,0.0625
"kalebhanson0104","star",5,80,0.0625
"kalebhanson0104","wars",5,80,0.0625
"KelziniFinalMix","lego",5,28,0.178571428571429
"Layilith","star",5,19,0.263157894736842
"Layilith","wars",5,19,0.263157894736842
"Lego_enthusiast","30th",5,222,0.0225225225225225
"Lego_enthusiast","ucs",5,222,0.0225225225225225
"legobrickvideos","#lego",5,62,0.0806451612903226
"legobrickvideos","#legofan",5,62,0.0806451612903226
"legobrickvideos","#legovideos",5,62,0.0806451612903226
"legobrickvideos","lego",5,62,0.0806451612903226
"legobrickvideos","wars",5,62,0.0806451612903226
"LEGOStarWarsS2","comments",5,622,0.00803858520900321
"LEGOStarWarsS2","level",5,622,0.00803858520900321
"LEGOStarWarsS2","original",5,622,0.00803858520900321
"LEGOTSSNEWSII","saga",5,104,0.0480769230769231
"MarnoASMRFan","lego",5,59,0.0847457627118644
"peggles_V8SC","wars",5,39,0.128205128205128
"PlayerHud","ready",5,78,0.0641025641025641
"StarWarsInforms","clone",5,198,0.0252525252525253
"StarWarsInforms","complete",5,198,0.0252525252525253
"StarWarsInforms","line",5,198,0.0252525252525253
"StarWarsInforms","saga",5,198,0.0252525252525253
"StarWarsInforms","toys",5,198,0.0252525252525253
"StarWarsToysan1","#disney",5,154,0.0324675324675325
"Super_Nova_010","lego",5,39,0.128205128205128
"ThSleepyVampire","wars",5,38,0.131578947368421
"TSKNew999","demo",5,18,0.277777777777778
"vogliamo_tutto","lego",5,20,0.25
"XenaGifts","brand",5,610,0.00819672131147541
"XenaGifts","clone",5,610,0.00819672131147541
"XenaGifts","mandalorian",5,610,0.00819672131147541
"XenaGifts","troopers",5,610,0.00819672131147541
"0K1K3","lego",4,15,0.266666666666667
"A7ZATRU","gt",4,62,0.0645161290322581
"AggroGamer","https://t.co/jvunqjalcb",4,76,0.0526315789473684
"AzureAcedia","collection",4,25,0.16
"bargains_brick","bulk",4,317,0.0126182965299685
"bargains_brick","loose",4,317,0.0126182965299685
"BirdsPromotion","wars",4,18,0.222222222222222
"BitchinLego","cbr",4,258,0.0155038759689922
"BitchinLego","sagas",4,258,0.0155038759689922
"BitchinLego","trailer",4,258,0.0155038759689922
"BitchinLego","window",4,258,0.0155038759689922
"Blaster944","saga",4,36,0.111111111111111
"BrickSetSearch","20th",4,2439,0.001640016400164
"BrickSetSearch","atat",4,2439,0.001640016400164
"BrickSetSearch","death",4,2439,0.001640016400164
"BrickSetSearch","ewok",4,2439,0.001640016400164
"BrickSetSearch","konvolut",4,2439,0.001640016400164
"BrickSetSearch","millennium",4,2439,0.001640016400164
"BrickSetSearch","rare",4,2439,0.001640016400164
"BrickSetSearch","series",4,2439,0.001640016400164
"BrickSetSearch","tie",4,2439,0.001640016400164
"BrickSetSearch","village",4,2439,0.001640016400164
"BricksFanz","star",4,42,0.0952380952380952
"BricksFanz","wars",4,42,0.0952380952380952
"BuildingToys1","amp",4,352,0.0113636363636364
"BuildingToys1","cruiser",4,352,0.0113636363636364
"BuildingToys1","edition",4,352,0.0113636363636364
"BuildingToys1","minifigures",4,352,0.0113636363636364
"BuildingToys1","set",4,352,0.0113636363636364
"CainSergal","lego",4,15,0.266666666666667
"church2550","wars",4,17,0.235294117647059
"CodyMinor620","lego",4,39,0.102564102564103
"CodyMinor620","star",4,39,0.102564102564103
"CodyMinor620","wars",4,39,0.102564102564103
"collectlegos","rare",4,96,0.0416666666666667
"DiogoAntnioRis2","lego",4,31,0.129032258064516
"DiogoAntnioRis2","star",4,31,0.129032258064516
"DiogoAntnioRis2","wars",4,31,0.129032258064516
"FanthaTracks","lego",4,69,0.0579710144927536
"futureotforce","#starwars",4,78,0.0512820512820513
"GeekFeedDotCom","https://t.co/xu14gly7yh",4,28,0.142857142857143
"GeekFeedDotCom","lego",4,28,0.142857142857143
"GeekFeedDotCom","saga",4,28,0.142857142857143
"GeekFeedDotCom","skywalker",4,28,0.142857142857143
"GeekFeedDotCom","star",4,28,0.142857142857143
"GeekFeedDotCom","trailer",4,28,0.142857142857143
"GeekFeedDotCom","wars",4,28,0.142857142857143
"GeekInfoNow","lego",4,38,0.105263157894737
"GeekInfoNow","star",4,38,0.105263157894737
"GeekInfoNow","wars",4,38,0.105263157894737
"GreyClo74866596","lego",4,30,0.133333333333333
"ISIS_Slay3r","lego",4,34,0.117647058823529
"ISIS_Slay3r","star",4,34,0.117647058823529
"ISIS_Slay3r","wars",4,34,0.117647058823529
"JediNewsNetwork","#starwars",4,86,0.0465116279069767
"Joker_Alex21","#legostarwars",4,52,0.0769230769230769
"Joker_Alex21","#starwars",4,52,0.0769230769230769
"Joker_Alex21","4k",4,52,0.0769230769230769
"Joker_Alex21","60fps",4,52,0.0769230769230769
"Joker_Alex21","complete",4,52,0.0769230769230769
"Joker_Alex21","lego",4,52,0.0769230769230769
"Joker_Alex21","saga",4,52,0.0769230769230769
"Joker_Alex21","star",4,52,0.0769230769230769
"Joker_Alex21","walkthrough",4,52,0.0769230769230769
"Joker_Alex21","wars",4,52,0.0769230769230769
"Lego_enthusiast","sep",4,222,0.018018018018018
"legobrickvideos","fighters",4,62,0.0645161290322581
"legobrickvideos","micro",4,62,0.0645161290322581
"legobrickvideos","series",4,62,0.0645161290322581
"legofac","complete",4,90,0.0444444444444444
"legofac","saga",4,90,0.0444444444444444
"LEGOStarWarsS2","characters",4,622,0.00643086816720257
"LEGOStarWarsS2","dream",4,622,0.00643086816720257
"LEGOStarWarsS2","galaxy",4,622,0.00643086816720257
"LEGOStarWarsS2","started",4,622,0.00643086816720257
"LEGOStarWarsS2","tt",4,622,0.00643086816720257
"lukerob72317804","@chrisrumseyy",4,84,0.0476190476190476
"lukerob72317804","date",4,84,0.0476190476190476
"lukerob72317804","gonna",4,84,0.0476190476190476
"lukerob72317804","spring",4,84,0.0476190476190476
"maddd1ZZ3","ps3",4,37,0.108108108108108
"MarnoASMRFan","games",4,59,0.0677966101694915
"MediaholicsBlog","saga",4,36,0.111111111111111
"oxtexnet","cnet",4,42,0.0952380952380952
"oxtexnet","lego",4,42,0.0952380952380952
"oxtexnet","star",4,42,0.0952380952380952
"oxtexnet","wars",4,42,0.0952380952380952
"PEBPhotography","star",4,74,0.0540540540540541
"peggles_V8SC","lego",4,39,0.102564102564103
"peggles_V8SC","star",4,39,0.102564102564103
"PlayerHud","release",4,78,0.0512820512820513
"PS5only","#gamescom",4,184,0.0217391304347826
"PS5only","#openingnightlive",4,184,0.0217391304347826
"PS5only","boxed",4,184,0.0217391304347826
"PS5only","game",4,184,0.0217391304347826
"PS5only","https://t.co/y1mttlhnni",4,184,0.0217391304347826
"PS5only","physical",4,184,0.0217391304347826
"PS5only","showcased",4,184,0.0217391304347826
"REBELCHILD24","wii",4,30,0.133333333333333
"robby_weidemann","lego",4,43,0.0930232558139535
"robby_weidemann","star",4,43,0.0930232558139535
"robby_weidemann","trailer",4,43,0.0930232558139535
"robby_weidemann","wars",4,43,0.0930232558139535
"robobbie_","lego",4,46,0.0869565217391304
"robobbie_","star",4,46,0.0869565217391304
"robobbie_","wars",4,46,0.0869565217391304
"StarWarsGear","star",4,41,0.0975609756097561
"StarWarsGear","wars",4,41,0.0975609756097561
"StarWarsInforms","iii",4,198,0.0202020202020202
"StarWarsInforms","march",4,198,0.0202020202020202
"StarWarsToysan1","#jedi",4,154,0.025974025974026
"streak_of_blue","sonic",4,21,0.19047619047619
"swcutscenes","#starwars",4,33,0.121212121212121
"SWTimeShow","game",4,67,0.0597014925373134
"SWTimeShow","saga",4,67,0.0597014925373134
"SWTimeShow","skywalker",4,67,0.0597014925373134
"thejessijames","star",4,44,0.0909090909090909
"ThePadTheMadLad","lego",4,23,0.173913043478261
"ThSleepyVampire","star",4,38,0.105263157894737
"timesofesports","xbox",4,44,0.0909090909090909
"ToyerToys","apple",4,102,0.0392156862745098
"ToyerToys","arcade",4,102,0.0392156862745098
"ToyerToys","coming",4,102,0.0392156862745098
"ToyerToys","games",4,102,0.0392156862745098
"XenaGifts","building",4,610,0.00655737704918033
"XenaGifts","factory",4,610,0.00655737704918033
"XenaGifts","fighter",4,610,0.00655737704918033
"XenaGifts","retired",4,610,0.00655737704918033
"Yottabrick","https://t.co/wkyfkma57g",4,46,0.0869565217391304
"Yottabrick","lego",4,46,0.0869565217391304
"Yottabrick","reduced",4,46,0.0869565217391304
"Yottabrick","set",4,46,0.0869565217391304
"Yottabrick","star",4,46,0.0869565217391304
"Yottabrick","wars",4,46,0.0869565217391304
"zOf2Halves","amp",4,29,0.137931034482759
"_MikeVsWorld_","game",3,18,0.166666666666667
"_oftoday_","apple",3,26,0.115384615384615
"9to5toys","star",3,34,0.0882352941176471
"9to5toys","wars",3,34,0.0882352941176471
"A7ZATRU","amp",3,62,0.0483870967741935
"A7ZATRU","battles",3,62,0.0483870967741935
"A7ZATRU","lego",3,62,0.0483870967741935
"A7ZATRU","star",3,62,0.0483870967741935
"A7ZATRU","wars",3,62,0.0483870967741935
"ADecentArtist","played",3,26,0.115384615384615
"andrearweir","⁦ebayretweeter⁩",3,68,0.0441176470588235
"babano22","announced",3,29,0.103448275862069
"bargains_brick","#re",3,317,0.00946372239747634
"bargains_brick","2nd",3,317,0.00946372239747634
"bargains_brick","359am",3,317,0.00946372239747634
"bargains_brick","amp",3,317,0.00946372239747634
"bargains_brick","https://t.co/9zk3bqbr85",3,317,0.00946372239747634
"bargains_brick","lb",3,317,0.00946372239747634
"bargains_brick","lbs",3,317,0.00946372239747634
"bargains_brick","legos",3,317,0.00946372239747634
"bargains_brick","pieces",3,317,0.00946372239747634
"bargains_brick","thu",3,317,0.00946372239747634
"bargains_brick","ultimate",3,317,0.00946372239747634
"bcsn_official","cnet",3,39,0.0769230769230769
"bcsn_official","lego",3,39,0.0769230769230769
"bcsn_official","star",3,39,0.0769230769230769
"bcsn_official","wars",3,39,0.0769230769230769
"BitchinLego","book",3,258,0.0116279069767442
"BitchinLego","combat",3,258,0.0116279069767442
"BitchinLego","comic",3,258,0.0116279069767442
"BitchinLego","date",3,258,0.0116279069767442
"BitchinLego","games",3,258,0.0116279069767442
"BitchinLego","gamescom",3,258,0.0116279069767442
"BitchinLego","https://t.co/gjuryaelr3",3,258,0.0116279069767442
"BitchinLego","https://t.co/yj4kki1b9z",3,258,0.0116279069767442
"BitchinLego","improvements",3,258,0.0116279069767442
"BitchinLego","moments",3,258,0.0116279069767442
"BitchinLego","movies",3,258,0.0116279069767442
"BitchinLego","playerside",3,258,0.0116279069767442
"BitchinLego","rant",3,258,0.0116279069767442
"BitchinLego","resources",3,258,0.0116279069767442
"Blaster944","complete",3,36,0.0833333333333333
"Blaster944","lego",3,36,0.0833333333333333
"Blaster944","star",3,36,0.0833333333333333
"Blaster944","wars",3,36,0.0833333333333333
"BrickFanatics","game",3,241,0.012448132780083
"BrickFanatics","sets",3,241,0.012448132780083
"BrickFanatics","trailer",3,241,0.012448132780083
"BrickSetSearch","bnib",3,2439,0.001230012300123
"BrickSetSearch","clone",3,2439,0.001230012300123
"BrickSetSearch","collector",3,2439,0.001230012300123
"BrickSetSearch","complete",3,2439,0.001230012300123
"BrickSetSearch","construction",3,2439,0.001230012300123
"BrickSetSearch","cool",3,2439,0.001230012300123
"BrickSetSearch","darth",3,2439,0.001230012300123
"BrickSetSearch","edition",3,2439,0.001230012300123
"BrickSetSearch","factory",3,2439,0.001230012300123
"BrickSetSearch","fun",3,2439,0.001230012300123
"BrickSetSearch","rebel",3,2439,0.001230012300123
"BrickSetSearch","shuttle",3,2439,0.001230012300123
"BuildingToys1","clone",3,352,0.00852272727272727
"BuildingToys1","imperial",3,352,0.00852272727272727
"BuildingToys1","light",3,352,0.00852272727272727
"BuildingToys1","limited",3,352,0.00852272727272727
"BuildingToys1","slave",3,352,0.00852272727272727
"BZP_Tweets","lego",3,25,0.12
"BZP_Tweets","star",3,25,0.12
"BZP_Tweets","wars",3,25,0.12
"CainSergal","games",3,15,0.2
"Ccero95257539","awakening",3,112,0.0267857142857143
"Ccero95257539","force",3,112,0.0267857142857143
"Ccero95257539","playing",3,112,0.0267857142857143
"Clarkysj1","@jokeralex21",3,24,0.125
"Clarkysj1","check",3,24,0.125
"Clarkysj1","lego",3,24,0.125
"Clarkysj1","star",3,24,0.125
"Clarkysj1","uploaded",3,24,0.125
"Clarkysj1","video",3,24,0.125
"Clarkysj1","wars",3,24,0.125
"CNET","lego",3,29,0.103448275862069
"CNET","star",3,29,0.103448275862069
"CNET","wars",3,29,0.103448275862069
"Coconut_enjoyer","lego",3,22,0.136363636363636
"Coconut_enjoyer","star",3,22,0.136363636363636
