"from","to","type"
"946600818","983442504870694913","mention"
"946600818","2203049400","mention"
"946600818","408018141","mention"
"946600818","983442504870694913","mention"
"3295574960","2436306686","mention"
"3295574960","140137815","mention"
"3295574960","863986785298153472","mention"
"3295574960","249474396","mention"
"3295574960","3049465648","mention"
"3295574960","733536861902114816","mention"
"3295574960","733536861902114816","mention"
"3295574960","2959036465","mention"
"3295574960","757477994487160832","mention"
"3295574960","813167199154159616","mention"
"3295574960","1107955877565235200","mention"
"3295574960","3419339002","mention"
"3295574960","1669287176","mention"
"3295574960","206255645","mention"
"3295574960","733536861902114816","mention"
"3295574960","529581527","mention"
"3295574960","992085643","mention"
"3295574960","2472206146","mention"
"3295574960","732266449","mention"
"3295574960","574556841","mention"
"3295574960","769489344","mention"
"3295574960","18346195","mention"
"3295574960","1925893129","mention"
"3295574960","2436306686","mention"
"3295574960","946600818","mention"
"3295574960","757477994487160832","mention"
"3295574960","933506360","mention"
"3295574960","94588684","mention"
"3295574960","951691614","mention"
"3295574960","320767690","mention"
"3295574960","1320073663","mention"
"3295574960","2323255908","mention"
"3295574960","334180397","mention"
"3295574960","415818235","mention"
"3295574960","983442504870694913","mention"
"3295574960","1062371837567483904","mention"
"3295574960","16213210","mention"
"3295574960","733536861902114816","mention"
"3295574960","174083824","mention"
"3295574960","78862818","mention"
"3295574960","2193727045","mention"
"3295574960","174083824","mention"
"3295574960","733536861902114816","mention"
"3295574960","1251309551934230529","mention"
"529581527","177405475","mention"
"529581527","733536861902114816","mention"
"529581527","17861135","mention"
"529581527","1164814206","mention"
"529581527","2193727045","mention"
"529581527","50069007","mention"
"529581527","415818235","mention"
"529581527","18346195","mention"
"529581527","560794718","mention"
"529581527","374101404","mention"
"529581527","1049977509138317312","mention"
"529581527","334180397","mention"
"529581527","377219705","mention"
"529581527","865557544147705858","mention"
"529581527","946600818","mention"
"529581527","4735262729","mention"
"560794718","1086212927290572800","mention"
"560794718","950759411978555392","mention"
"560794718","479635529","mention"
"560794718","246357691","mention"
"560794718","1184754202976935936","mention"
"560794718","169538272","mention"
"560794718","1201354639","mention"
"560794718","1086212927290572800","mention"
"560794718","2719905028","mention"
"560794718","3806116060","mention"
"560794718","31370801","mention"
"560794718","950759411978555392","mention"
"560794718","479635529","mention"
"391932594","618496409","mention"
"391932594","413077030","mention"
"391932594","104849636","mention"
"391932594","2794093067","mention"
"391932594","1157329556002484229","mention"
"391932594","1336320882","mention"
"391932594","2239221307","mention"
"391932594","4878256167","mention"
"391932594","413077030","mention"
"391932594","1231127468","mention"
"304593450","456221061","mention"
"304593450","1014237373868183553","mention"
"304593450","87898448","mention"
"304593450","302666251","mention"
"304593450","550247610","mention"
"304593450","334180397","mention"
"304593450","1108803143473786881","mention"
"304593450","328174631","mention"
"304593450","201624890","mention"
"304593450","14293288","mention"
"441210459","1350329869020889088","mention"
"441210459","2910771109","mention"
"441210459","169236725","mention"
"441210459","2910771109","mention"
"348878373","80573817","mention"
"348878373","1269940066740244480","mention"
"348878373","1053946146551357444","mention"
"562780763","701295278","mention"
"562780763","1039782820670046209","mention"
"562780763","4442426727","mention"
"632876717","1316373623620411392","mention"
"632876717","992085643","mention"
"632876717","29525099","mention"
"632876717","284534896","mention"
"632876717","554217823","mention"
"632876717","1265619863286005766","mention"
"632876717","1316373623620411392","mention"
"632876717","1333779594","mention"
"632876717","992085643","mention"
"632876717","29525099","mention"
"632876717","950759411978555392","mention"
"632876717","1316373623620411392","mention"
"3612324989","2859525629","mention"
"2436306686","826038666870956034","mention"
"2436306686","4030772112","mention"
"2436306686","1148410176044580864","mention"
"2436306686","733536861902114816","mention"
"2436306686","1177383806","mention"
"2436306686","149491701","mention"
"2436306686","1450680956","mention"
"2436306686","3320777066","mention"
"2436306686","78862818","mention"
"2436306686","4710593790","mention"
"2436306686","174083824","mention"
"2436306686","53450429","mention"
"2436306686","455505094","mention"
"2436306686","334180397","mention"
"2436306686","1201304340","mention"
"2436306686","174083824","mention"
"2436306686","2959036465","mention"
"2436306686","33771434","mention"
"2436306686","4922659812","mention"
"2436306686","1037710593485144065","mention"
"983304875562840064","334180397","mention"
"21023236","1568480953","mention"
"21023236","950759411978555392","mention"
"21023236","1017557046","mention"
"21023236","1156913352","mention"
"21023236","1252808367023611906","mention"
"21023236","1073053400785252352","mention"
"21023236","4843731243","mention"
"21023236","3254397283","mention"
"21023236","1131098646810775552","mention"
"21023236","1252808367023611906","mention"
"21023236","718036586","mention"
"21023236","3235812446","mention"
"390603878","1156197137560064002","mention"
"390603878","3802422322","mention"
"390603878","1583112350","mention"
"390603878","129171851","mention"
"390603878","760829596996599808","mention"
"390603878","86707721","mention"
"390603878","1181225702588334082","mention"
"390603878","2180365808","mention"
"390603878","3144456717","mention"
"390603878","3144456717","mention"
"390603878","1321804903841439744","mention"
"390603878","1225483522837827584","mention"
"390603878","3144456717","mention"
"390603878","334180397","mention"
"390603878","1086212927290572800","mention"
"390603878","6107422","mention"
"390603878","1192370197245693952","mention"
"390603878","3802422322","mention"
"390603878","1225483522837827584","mention"
"390603878","3144456717","mention"
"390603878","3088598249","mention"
"390603878","1208408780","mention"
"390603878","950759411978555392","mention"
"390603878","632876717","mention"
"390603878","992085643","mention"
"390603878","2479652586","mention"
"390603878","3144456717","mention"
"390603878","334180397","mention"
"390603878","5695032","mention"
"390603878","1086699046042062848","mention"
"390603878","3144456717","mention"
"390603878","236890297","mention"
"390603878","3144456717","mention"
"390603878","543329854","mention"
"390603878","236890297","mention"
"390603878","3144456717","mention"
"390603878","1186270785025007618","mention"
"854691799113367556","2810470020","mention"
"854691799113367556","992085643","mention"
"854691799113367556","2642356213","mention"
"854691799113367556","755762027981922304","mention"
"854691799113367556","847664184","mention"
"854691799113367556","22164524","mention"
"854691799113367556","919480824172634112","mention"
"854691799113367556","2294246358","mention"
"854691799113367556","2473215966","mention"
"854691799113367556","950759411978555392","mention"
"854691799113367556","161822962","mention"
"854691799113367556","300360969","mention"
"854691799113367556","42924530","mention"
"854691799113367556","2473215966","mention"
"4157805196","935468755076964352","mention"
"4157805196","10955042","mention"
"4157805196","1366340361862467590","mention"
"4157805196","831781157704458241","mention"
"4157805196","533067021","mention"
"364921613","3044613059","mention"
"364921613","950759411978555392","mention"
"364921613","155557198","mention"
"364921613","23659718","mention"
"364921613","71229689","mention"
"364921613","206275396","mention"
"364921613","3044613059","mention"
"364921613","71229689","mention"
"364921613","171881218","mention"
"364921613","70725281","mention"
"364921613","1073588023","mention"
"364921613","1240569810213314563","mention"
"364921613","206275396","mention"
"364921613","3044613059","mention"
"364921613","71229689","mention"
"364921613","171881218","mention"
"364921613","1073588023","mention"
"1127885229014822912","906436104","mention"
"1127885229014822912","378826151","mention"
"1127885229014822912","220153789","mention"
"36703655","708020319764750338","mention"
"436632450","21146468","mention"
"829397164514299915","375978064","mention"
"829397164514299915","1042993662","mention"
"829397164514299915","590068644","mention"
"829397164514299915","375978064","mention"
"829397164514299915","1042993662","mention"
"829397164514299915","590068644","mention"
"829397164514299915","48473838","mention"
"185066639","334180397","mention"
"415818235","749974024437071872","mention"
"415818235","18346195","mention"
"415818235","983442504870694913","mention"
"415818235","529581527","mention"
"415818235","560794718","mention"
"415818235","374101404","mention"
"415818235","1049977509138317312","mention"
"415818235","334180397","mention"
"415818235","377219705","mention"
"415818235","865557544147705858","mention"
"415818235","946600818","mention"
"415818235","4735262729","mention"
"415818235","334180397","mention"
"415818235","3144456717","mention"
"415818235","334180397","mention"
"415818235","87657446","mention"
"415818235","87657446","mention"
"415818235","847664184","mention"
"415818235","60642183","mention"
"415818235","1109786346946744322","mention"
"415818235","804550134495199232","mention"
"415818235","1009073996489482241","mention"
"415818235","3049465648","mention"
"415818235","701295278","mention"
"415818235","872819230571417601","mention"
"415818235","819089308510461952","mention"
"415818235","562780763","mention"
"415818235","1111217362785714176","mention"
"415818235","529581527","mention"
"2959036465","733536861902114816","mention"
"2959036465","78862818","mention"
"2959036465","757477994487160832","mention"
"2959036465","78862818","mention"
"2959036465","2723346354","mention"
"2959036465","15862891","mention"
"2959036465","78862818","mention"
"2959036465","33771434","mention"
"2959036465","174083824","mention"
"2959036465","78862818","mention"
"2959036465","174083824","mention"
"1231127468","413077030","mention"
"1231127468","2415807302","mention"
"1231127468","413077030","mention"
"1231127468","1267524311277015042","mention"
"1231127468","413077030","mention"
"300467000","38139057","mention"
"2441946004","376790816","mention"
"174083824","2293603104","mention"
"174083824","188545143","mention"
"999448620184190977","213916833","mention"
"999448620184190977","1859587704","mention"
"2731725930","37204200","mention"
"2731725930","2988593685","mention"
"1179733821660549121","1179733821660549121","mention"
"1179733821660549121","973585233693106176","mention"
"1295401147629555713","1179733821660549121","mention"
"951318308","1179733821660549121","mention"
"951318308","973585233693106176","mention"
"2425943791","1925893129","mention"
"2425943791","1432422163","mention"
"2425943791","2810470020","mention"
"2425943791","1694576978","mention"
"2425943791","362361533","mention"
"2425943791","3052773116","mention"
"950759411978555392","1086212927290572800","mention"
"950759411978555392","560794718","mention"
"950759411978555392","771249558","mention"
"950759411978555392","2195912838","mention"
"950759411978555392","169858305","mention"
"950759411978555392","169858305","mention"
"950759411978555392","1374278504","mention"
"950759411978555392","564557931","mention"
"950759411978555392","2799754956","mention"
"950759411978555392","2893559152","mention"
"950759411978555392","74688411","mention"
"950759411978555392","413077030","mention"
"950759411978555392","2697848210","mention"
"950759411978555392","1017557046","mention"
"3727211055","1382532266","mention"
"3727211055","46477409","mention"
"3727211055","4849778295","mention"
"3727211055","17793580","mention"
"3727211055","16573941","mention"
"3727211055","1382532266","mention"
"3727211055","322207364","mention"
"753986583661916160","21313105","mention"
"753986583661916160","515749303","mention"
"826929679252664322","4196113517","mention"
"826929679252664322","334180397","mention"
"1113416200820862976","561241979","mention"
"22973835","46997440","mention"
"22973835","301783782","mention"
"22973835","1057169522","mention"
"745147334938419201","2959036465","mention"
"1192370197245693952","1156197137560064002","mention"
"1192370197245693952","3802422322","mention"
"1192370197245693952","3144456717","mention"
"1192370197245693952","760829596996599808","mention"
"1192370197245693952","86707721","mention"
"1192370197245693952","129171851","mention"
"1192370197245693952","1583112350","mention"
"31792400","29807062","mention"
"31792400","2512351134","mention"
"31792400","761148927588446208","mention"
"31792400","369463369","mention"
"31792400","31792400","mention"
"31792400","1058384646608707584","mention"
"31792400","369463369","mention"
"2528984544","380816062","mention"
"1086212927290572800","246357691","mention"
"1086212927290572800","479635529","mention"
"1086212927290572800","560794718","mention"
"1086212927290572800","1184754202976935936","mention"
"1086212927290572800","246357691","mention"
"1086212927290572800","1184754202976935936","mention"
"1086212927290572800","794652402724896769","mention"
"1086212927290572800","847664184","mention"
"1086212927290572800","1192370197245693952","mention"
"1086212927290572800","719237709227757568","mention"
"1086212927290572800","133738475","mention"
"1086212927290572800","800305586332057601","mention"
"1086212927290572800","479635529","mention"
"1086212927290572800","560794718","mention"
"1086212927290572800","348974190","mention"
"1086212927290572800","950249762","mention"
"983442504870694913","529581527","mention"
"983442504870694913","415818235","mention"
"983442504870694913","18346195","mention"
"983442504870694913","560794718","mention"
"983442504870694913","374101404","mention"
"983442504870694913","1049977509138317312","mention"
"983442504870694913","334180397","mention"
"983442504870694913","377219705","mention"
"983442504870694913","865557544147705858","mention"
"983442504870694913","946600818","mention"
"983442504870694913","4735262729","mention"
"983442504870694913","983442504870694913","mention"
"983442504870694913","169236725","mention"
"983442504870694913","2585068695","mention"
"983442504870694913","732266449","mention"
"983442504870694913","24394772","mention"
"983442504870694913","1299879284048359429","mention"
"983442504870694913","169236725","mention"
"3144456717","1086212927290572800","mention"
"3144456717","2853316299","mention"
"3144456717","2264226184","mention"
"3144456717","2180365808","mention"
"3144456717","88679552","mention"
"3144456717","1309175374509674497","mention"
"3144456717","3074506603","mention"
"3144456717","3088598249","mention"
"3144456717","612473","mention"
"3144456717","236890297","mention"
"3144456717","595071847","mention"
"3144456717","1088390287070818304","mention"
"3144456717","950759411978555392","mention"
"2851116285","21299485","mention"
"21299485","94588684","mention"
"22927530","361941476","mention"
"22927530","192942213","mention"
"22927530","74827899","mention"
"22927530","20646711","mention"
"22927530","1117411064","mention"
"22927530","819759267364208640","mention"
"22927530","334180397","mention"
"22927530","2584852524","mention"
"22927530","1117411064","mention"
"22927530","376790816","mention"
"22927530","857139680822931456","mention"
"22927530","1117411064","mention"
"22927530","819759267364208640","mention"
"22927530","334180397","mention"
"22927530","2584852524","mention"
"1086699046042062848","390603878","mention"
"1086699046042062848","334180397","mention"
"1086699046042062848","5695032","mention"
"1275993326","369463369","mention"
"1275993326","1164814206","mention"
"1275993326","2193727045","mention"
"1275993326","808778275355066368","mention"
"1275993326","835001383","mention"
"1275993326","796380345029558273","mention"
"1275993326","2768677050","mention"
"1275993326","334180397","mention"
"1275993326","99890175","mention"
"1275993326","1062371837567483904","mention"
"3225432743","334180397","mention"
"755221332","334180397","mention"
"755221332","819759267364208640","mention"
"857139680822931456","376790816","mention"
"857139680822931456","384923143","mention"
"857139680822931456","376790816","mention"
"857139680822931456","819759267364208640","mention"
"857139680822931456","334180397","mention"
"857139680822931456","2584852524","mention"
"857139680822931456","80597284","mention"
"857139680822931456","376790816","mention"
"857139680822931456","376790816","mention"
"857139680822931456","339846503","mention"
"369463369","1275993326","mention"
"369463369","1164814206","mention"
"369463369","2193727045","mention"
"369463369","808778275355066368","mention"
"369463369","835001383","mention"
"369463369","796380345029558273","mention"
"369463369","2768677050","mention"
"369463369","334180397","mention"
"369463369","99890175","mention"
"369463369","1062371837567483904","mention"
"369463369","2193727045","mention"
"369463369","1164814206","mention"
"369463369","1275993326","mention"
"369463369","808778275355066368","mention"
"369463369","835001383","mention"
"369463369","334180397","mention"
"369463369","99890175","mention"
"1187299598857101312","88679552","mention"
"1187299598857101312","599306348","mention"
"1187299598857101312","1181751938","mention"
"1187299598857101312","601031921","mention"
"1187299598857101312","500927893","mention"
"1187299598857101312","29666041","mention"
"1187299598857101312","155525097","mention"
"1187299598857101312","599306348","mention"
"1187299598857101312","599306348","mention"
"1187299598857101312","2976165712","mention"
"1187299598857101312","2976165712","mention"
"1187299598857101312","599306348","mention"
"19256027","436090381","mention"
"3049465648","1107557207825108992","mention"
"3049465648","1109786346946744322","mention"
"3049465648","1142513940649271301","mention"
"3049465648","3295574960","mention"
"3049465648","1107557207825108992","mention"
"3049465648","1109786346946744322","mention"
"3049465648","4864498913","mention"
"67738501","1669287176","mention"
"67738501","206255645","mention"
"3419339002","1669287176","mention"
"3419339002","206255645","mention"
"1225483522837827584","257422386","mention"
"1225483522837827584","86767644","mention"
"1225483522837827584","390603878","mention"
"1225483522837827584","3144456717","mention"
"1225483522837827584","3144456717","mention"
"1225483522837827584","3420836909","mention"
"1225483522837827584","257422386","mention"
"1225483522837827584","257422386","mention"
"1225483522837827584","86767644","mention"
"1225483522837827584","334180397","mention"
"1225483522837827584","17289376","mention"
"1225483522837827584","3144456717","mention"
"1225483522837827584","334180397","mention"
"1288401616597585920","2976165712","mention"
"1288401616597585920","946600818","mention"
"1288401616597585920","983442504870694913","mention"
"1288401616597585920","334180397","mention"
"1288401616597585920","732860892195491840","mention"
"1156794480","314217400","mention"
"4615001774","550366123","mention"
"4615001774","4492532740","mention"
"21423976","471948424","mention"
"331662351","2414863285","mention"
"331662351","3144456717","mention"
"331662351","390603878","mention"
"331662351","3384441298","mention"
"380230875","1010221634513526784","mention"
"380230875","413077030","mention"
"380230875","1870950708","mention"
"380230875","249615277","mention"
"380230875","37547571","mention"
"380230875","9552312","mention"
"380230875","198093225","mention"
"380230875","2286038814","mention"
"950911478","3193211601","mention"
"950911478","2436306686","mention"
"950911478","1061455735664533504","mention"
"769489344","783934948050862081","mention"
"769489344","413077030","mention"
"769489344","950759411978555392","mention"
"87898448","1215603791841701889","mention"
"87898448","456221061","mention"
"87898448","304593450","mention"
"87898448","1014237373868183553","mention"
"456221061","304593450","mention"
"456221061","1014237373868183553","mention"
"456221061","87898448","mention"
"456221061","1290000733","mention"
"455505094","924938743139614720","mention"
"735121090574422016","40001204","mention"
"735121090574422016","15862891","mention"
"735121090574422016","1727560718","mention"
"735121090574422016","2646712256","mention"
"735121090574422016","1311992690360365058","mention"
"735121090574422016","109201483","mention"
"735121090574422016","3343852672","mention"
"1711251816","4089078076","mention"
"1711251816","430124690","mention"
"1711251816","78905469","mention"
"1711251816","791369701897166848","mention"
"1711251816","19255050","mention"
"1711251816","947866566330331136","mention"
"1711251816","57043553","mention"
"1711251816","1016997598509617154","mention"
"1711251816","29525099","mention"
"1071007381209919488","323348503","mention"
"1071007381209919488","24564455","mention"
"1071007381209919488","781752457026080768","mention"
"1071007381209919488","4905620002","mention"
"1071007381209919488","39212888","mention"
"1071007381209919488","183152812","mention"
"1071007381209919488","297301442","mention"
"611720792","1498633838","mention"
"1271011363553456128","186476134","mention"
"590198238","1899774962","mention"
"590198238","933636722629529600","mention"
"590198238","781830128150147072","mention"
"590198238","1105772014051250176","mention"
"590198238","768070297387929600","mention"
"4259889394","701295278","mention"
"4259889394","2239221307","mention"
"4259889394","2959036465","mention"
"4259889394","78862818","mention"
"4259889394","1879429016","mention"
"4259889394","1224653027447070722","mention"
"4259889394","1524876223","mention"
"4259889394","370724025","mention"
"4259889394","841700394984173570","mention"
"4259889394","1109786346946744322","mention"
"4259889394","701295278","mention"
"1186270785025007618","54598980","mention"
"1186270785025007618","3144456717","mention"
"1186270785025007618","15646014","mention"
"1186270785025007618","1187299598857101312","mention"
"1186270785025007618","1086212927290572800","mention"
"88777842","946600818","mention"
"88777842","983442504870694913","mention"
"88777842","890304274315522051","mention"
"190893537","15820660","mention"
"403342460","586495089","mention"
"35694355","946600818","mention"
"35694355","169236725","mention"
"35694355","1280984599","mention"
"35694355","574556841","mention"
"1959579031","709428084081074176","mention"
"1959579031","479635529","mention"
"1959579031","121076404","mention"
"229045433","1052110662099496960","mention"
"229045433","104849636","mention"
"229045433","16245822","mention"
"229045433","732141019114930176","mention"
"919127603763646464","956184232258342912","mention"
"919127603763646464","590004017","mention"
"919127603763646464","865221294257831937","mention"
"919127603763646464","104849636","mention"
"919127603763646464","831434202","mention"
"919127603763646464","563634551","mention"
"919127603763646464","26203004","mention"
"919127603763646464","20507623","mention"
"204240123","376559255","mention"
"1389454766","1156197137560064002","mention"
"2341132952","871967606726688768","mention"
"2341132952","885953601067208705","mention"
"2341132952","505750869","mention"
"2341132952","582813575","mention"
"1134017136794509313","369463369","mention"
"1134017136794509313","2193727045","mention"
"1134017136794509313","1275993326","mention"
"1134017136794509313","808778275355066368","mention"
"1134017136794509313","835001383","mention"
"1134017136794509313","334180397","mention"
"66182591","169236725","mention"
"66182591","169236725","mention"
"2585068695","946600818","mention"
"1103731728529661953","334180397","mention"
"1103731728529661953","334180397","mention"
"376790816","2755310156","mention"
"376790816","2326019222","mention"
"2322024978","169236725","mention"
"837009356990337024","168607383","mention"
"837009356990337024","2190170011","mention"
"837009356990337024","788347786358034432","mention"
"837009356990337024","485712448","mention"
"1090462074","169236725","mention"
"1090462074","345688016","mention"
"2447639095","1964647555","mention"
"2447639095","1964647555","mention"
"345688016","1912459310","mention"
"345688016","18036441","mention"
"927532791184666624","859415145105178624","mention"
"499327665","19210200","mention"
"499327665","35694355","mention"
"499327665","169236725","mention"
"499327665","35694355","mention"
"499327665","169236725","mention"
"247194955","1109786346946744322","mention"
"3294036083","1094369183297662981","mention"
"3294036083","994564712565178368","mention"
"1108027673996075010","413077030","mention"
"1108027673996075010","983442504870694913","mention"
"1108027673996075010","140137815","mention"
"1108027673996075010","155522617","mention"
"1108027673996075010","777541432567529472","mention"
"1108027673996075010","2459755554","mention"
"1108027673996075010","2176200271","mention"
"1108027673996075010","3064044772","mention"
"1109786346946744322","1103731728529661953","mention"
"1109786346946744322","1055122068797341702","mention"
"1109786346946744322","755552464774934528","mention"
"1109786346946744322","2859525629","mention"
"1109786346946744322","247194955","mention"
"1109786346946744322","21591776","mention"
"1109786346946744322","247194955","mention"
"1109786346946744322","66219577","mention"
"976738768680976385","1109786346946744322","mention"
"4864498913","1109786346946744322","mention"
"599199924","169858305","mention"
"599199924","881607050","mention"
"3352435978","169236725","mention"
"169236725","16491676","mention"
"1128893598","66182591","mention"
"1128893598","169236725","mention"
"1128893598","18783501","mention"
"1128893598","620239659","mention"
"1128893598","2696746532","mention"
"89164940","89164940","mention"
"89164940","4849821129","mention"
"41796718","415818235","mention"
"41796718","87657446","mention"
"41796718","121715841","mention"
"41796718","847664184","mention"
"41796718","950759411978555392","mention"
"384923143","376790816","mention"
"121715841","1088390287070818304","mention"
"121715841","1088390287070818304","mention"
"121715841","847664184","mention"
"121715841","60642183","mention"
"121715841","1092833476947132417","mention"
"213782398","413077030","mention"
"1483122774","1092833476947132417","mention"
"1483122774","847664184","mention"
"1483122774","1088390287070818304","mention"
"771249558","121076404","mention"
"243479125","78862818","mention"
"2967472269","595071847","mention"
"2967472269","893141082137133056","mention"
"1524876223","273984889","mention"
"3030225129","561241979","mention"
"4878256167","391932594","mention"
"4878256167","1231127468","mention"
"4878256167","19587086","mention"
"4878256167","413077030","mention"
"4878256167","865221294257831937","mention"
"2565163362","811830372","mention"
"1133302599418036229","260685403","mention"
"1133302599418036229","17471979","mention"
"1133302599418036229","17578410","mention"
"1133302599418036229","385968930","mention"
"2981051669","498986767","mention"
"2981051669","439872623","mention"
"2981051669","2648680260","mention"
"479635529","560794718","mention"
"479635529","1086212927290572800","mention"
"479635529","2815058676","mention"
"479635529","3018057737","mention"
"479635529","121715841","mention"
"479635529","778510417693925376","mention"
"479635529","1208408780","mention"
"847664184","1083338273165070336","mention"
"1287266438252765185","1164814206","mention"
"1287266438252765185","808778275355066368","mention"
"1287266438252765185","1062371837567483904","mention"
"1287266438252765185","369463369","mention"
"1287266438252765185","2193727045","mention"
"1287266438252765185","733536861902114816","mention"
"1287266438252765185","177405475","mention"
"1287266438252765185","334180397","mention"
"1287266438252765185","1275993326","mention"
"1287266438252765185","58663554","mention"
"954019643420823552","1037422922816806912","mention"
"954019643420823552","246357691","mention"
"954019643420823552","140037672","mention"
"954019643420823552","1086212927290572800","mention"
"236890297","18627119","mention"
"236890297","1201354639","mention"
"236890297","1136513778","mention"
"236890297","41165310","mention"
"236890297","34932634","mention"
"236890297","1156873802","mention"
"236890297","339585221","mention"
"236890297","1201354639","mention"
"236890297","2734376936","mention"
"413077030","50069007","mention"
"413077030","371201577","mention"
"413077030","950759411978555392","mention"
"413077030","121076404","mention"
"413077030","529581527","mention"
"413077030","1108027673996075010","mention"
"413077030","49733413","mention"
"239060943","3144456717","mention"
"239060943","351491995","mention"
"239060943","543329854","mention"
"239060943","1187299598857101312","mention"
"239060943","390603878","mention"
"239060943","599306348","mention"
"239060943","3144456717","mention"
"808778275355066368","571639369","mention"
"808778275355066368","31792400","mention"
"808778275355066368","24183388","mention"
"808778275355066368","544739151","mention"
"15363640","460927732","mention"
"226160291","1086212927290572800","mention"
"1037422922816806912","1184754202976935936","mention"
"1037422922816806912","288763617","mention"
"1037422922816806912","1086212927290572800","mention"
"1037422922816806912","246357691","mention"
"1037422922816806912","140037672","mention"
"1037422922816806912","129083722","mention"
"1037422922816806912","595626117","mention"
"1281178694","983442504870694913","mention"
"1281178694","1181225702588334082","mention"
"1181225702588334082","255630632","mention"
"1181225702588334082","3346306377","mention"
"20718563","49733413","mention"
"249615277","60642183","mention"
"2177884908","236890297","mention"
"2498876011","1187299598857101312","mention"
"2498876011","961992282064019457","mention"
"2498876011","1224162523","mention"
"2498876011","29666041","mention"
"2498876011","155525097","mention"
"1181751938","1187299598857101312","mention"
"2242921827","831456777606725632","mention"
"2242921827","49733413","mention"
"2242921827","994898376041861121","mention"
"2594355044","301842084","mention"
"2594355044","120834291","mention"
"3621129676","1162362196560621568","mention"
"978160837","1201354639","mention"
"978160837","1136513778","mention"
"978160837","732307546392932352","mention"
"1086310837495709696","23055105","mention"
"64991438","479635529","mention"
"64991438","201624890","mention"
"23788903","1086212927290572800","mention"
